origin_name,destination_name,"Total, means of transportation",Long-distance train or commuter rail,"Light rail, streetcar or trolley (carro público in Puerto Rico)",Ferryboat ,Bicycle ,Walked ,Taxicab,Motorcycle,Other means,Worked from home ,"Car, truck, or van -- Drove alone","Car, truck, or van -- In a 2-person carpool","Car, truck, or van -- In a 3-person carpool","Car, truck, or van -- In a 4-person carpool","Car, truck, or van -- In a 5-or-6-person carpool","Car, truck, or van -- In a 7-or-more-person carpool",Bus,Subway or elevated rail,"Total, means of transportation_MOE",Long-distance train or commuter rail_MOE,"Light rail, streetcar or trolley (carro público in Puerto Rico)_MOE",Ferryboat _MOE,Bicycle _MOE,Walked _MOE,Taxicab_MOE,Motorcycle_MOE,Other means_MOE,Worked from home _MOE,"Car, truck, or van -- Drove alone_MOE","Car, truck, or van -- In a 2-person carpool_MOE","Car, truck, or van -- In a 3-person carpool_MOE","Car, truck, or van -- In a 4-person carpool_MOE","Car, truck, or van -- In a 5-or-6-person carpool_MOE","Car, truck, or van -- In a 7-or-more-person carpool_MOE",Bus_MOE,Subway or elevated rail_MOE,destination_geoid,geoid,origin_geoid
"San Francisco County, California","Marin County, California","5,045",15,0,145,15,180,10,30,30,0,"4,010",255,130,35,0,15,175,0,+/-616,+/-26,+/-30,+/-247,+/-23,+/-146,+/-14,+/-38,+/-28,+/-30,+/-460,+/-120,+/-89,+/-27,+/-30,+/-23,+/-113,+/-30,C2300US06041,C4300US0607506041,C0300US06075
"San Francisco County, California","Napa County, California",340,0,0,0,0,0,0,0,0,0,185,25,0,0,0,0,125,0,+/-163,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-113,+/-41,+/-30,+/-30,+/-30,+/-30,+/-112,+/-30,C2300US06055,C4300US0607506055,C0300US06075
"San Francisco County, California","San Francisco County, California","401,990","1,160","7,315",30,"15,745","52,740","5,715","3,455","6,130","90,165","91,425","16,570","5,005","1,520",525,490,"76,075","27,930","+/-3,913",+/-198,+/-750,+/-38,"+/-1,037","+/-1,906",+/-570,+/-457,+/-615,"+/-2,710","+/-2,290","+/-1,088",+/-664,+/-333,+/-193,+/-187,"+/-2,357","+/-1,476",C2300US06075,C4300US0607506075,C0300US06075
"San Francisco County, California","San Mateo County, California","44,925","1,355",320,0,555,"1,210",290,190,"1,010",0,"29,580","3,185",835,310,115,45,"4,520","1,420","+/-1,514",+/-306,+/-182,+/-30,+/-182,+/-307,+/-125,+/-108,+/-333,+/-30,"+/-1,281",+/-509,+/-227,+/-125,+/-67,+/-31,+/-636,+/-304,C2300US06081,C4300US0607506081,C0300US06075
"San Francisco County, California","Santa Clara County, California","23,455","3,185",400,0,205,245,110,185,820,0,"9,145","1,160",95,70,25,100,"6,785",930,"+/-1,357",+/-559,+/-342,+/-30,+/-108,+/-108,+/-76,+/-93,+/-250,+/-30,+/-921,+/-360,+/-48,+/-63,+/-27,+/-126,+/-772,+/-265,C2300US06085,C4300US0607506085,C0300US06075
"San Francisco County, California","Solano County, California",490,0,0,0,4,50,0,0,4,0,405,4,15,0,0,0,0,0,+/-178,+/-30,+/-30,+/-30,+/-9,+/-11,+/-30,+/-30,+/-14,+/-30,+/-176,+/-13,+/-28,+/-30,+/-30,+/-30,+/-30,+/-30,C2300US06095,C4300US0607506095,C0300US06075
"San Francisco County, California","Sonoma County, California",800,0,0,0,0,10,10,10,15,0,595,80,15,35,0,15,20,0,+/-182,+/-30,+/-30,+/-30,+/-30,+/-18,+/-19,+/-14,+/-28,+/-30,+/-168,+/-45,+/-26,+/-53,+/-30,+/-24,+/-23,+/-30,C2300US06097,C4300US0607506097,C0300US06075
"San Mateo County, California","Alameda County, California","11,860",110,10,0,55,30,0,0,10,0,"9,390",875,145,95,15,60,150,915,+/-824,+/-63,+/-14,+/-30,+/-67,+/-34,+/-30,+/-30,+/-16,+/-30,+/-749,+/-232,+/-69,+/-58,+/-25,+/-55,+/-108,+/-213,C2300US06001,C4300US0608106001,C0300US06081
"San Mateo County, California","Contra Costa County, California","1,925",25,0,0,0,10,0,0,20,0,"1,510",185,10,45,45,15,4,55,+/-407,+/-41,+/-30,+/-30,+/-30,+/-21,+/-30,+/-30,+/-26,+/-30,+/-366,+/-141,+/-14,+/-36,+/-65,+/-25,+/-10,+/-43,C2300US06013,C4300US0608106013,C0300US06081
"San Mateo County, California","Marin County, California","1,090",0,0,0,0,0,0,35,0,0,850,65,15,30,40,10,45,0,+/-250,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-49,+/-30,+/-30,+/-226,+/-53,+/-20,+/-48,+/-61,+/-16,+/-53,+/-30,C2300US06041,C4300US0608106041,C0300US06081
"San Mateo County, California","Napa County, California",40,0,0,0,0,0,0,0,0,0,20,0,0,0,15,0,0,0,+/-39,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-26,+/-30,+/-30,+/-30,+/-32,+/-30,+/-30,+/-30,C2300US06055,C4300US0608106055,C0300US06081
"San Mateo County, California","San Francisco County, California","73,495","5,230",645,0,310,435,225,395,925,0,"41,510","6,300","1,190",560,145,65,"4,355","11,215","+/-1,793",+/-530,+/-336,+/-30,+/-173,+/-191,+/-105,+/-192,+/-240,+/-30,"+/-1,638",+/-708,+/-327,+/-259,+/-80,+/-49,+/-649,+/-857,C2300US06075,C4300US0608106075,C0300US06081
"San Mateo County, California","San Mateo County, California","252,835","1,060",60,0,"3,110","8,515",730,510,"3,440","59,555","146,725","16,625","3,890","1,285",415,205,"5,470","1,235","+/-2,617",+/-216,+/-50,+/-30,+/-549,+/-884,+/-195,+/-137,+/-624,"+/-1,714","+/-2,500","+/-1,122",+/-495,+/-415,+/-140,+/-127,+/-628,+/-359,C2300US06081,C4300US0608106081,C0300US06081
"San Mateo County, California","Santa Clara County, California","55,765","2,005",145,0,"1,695",315,135,225,575,0,"44,210","3,580",675,145,210,100,"1,010",745,"+/-1,674",+/-300,+/-125,+/-30,+/-339,+/-152,+/-83,+/-132,+/-224,+/-30,"+/-1,614",+/-501,+/-188,+/-63,+/-113,+/-87,+/-248,+/-231,C2300US06085,C4300US0608106085,C0300US06081
"San Mateo County, California","Solano County, California",30,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,C2300US06095,C4300US0608106095,C0300US06081
"San Mateo County, California","Sonoma County, California",355,0,0,0,0,0,4,0,0,0,160,60,110,20,0,0,0,0,+/-189,+/-30,+/-30,+/-30,+/-30,+/-30,+/-17,+/-30,+/-30,+/-30,+/-124,+/-43,+/-125,+/-26,+/-30,+/-30,+/-30,+/-30,C2300US06097,C4300US0608106097,C0300US06081
"Santa Clara County, California","Alameda County, California","38,795",285,10,0,75,150,125,70,260,0,"32,785","3,770",565,175,120,40,190,175,"+/-1,534",+/-114,+/-13,+/-30,+/-65,+/-89,+/-100,+/-44,+/-144,+/-30,"+/-1,315",+/-548,+/-188,+/-82,+/-90,+/-33,+/-164,+/-80,C2300US06001,C4300US0608506001,C0300US06085
"Santa Clara County, California","Contra Costa County, California","1,935",25,0,0,0,0,15,0,35,0,"1,535",225,25,15,0,0,65,0,+/-299,+/-31,+/-30,+/-30,+/-30,+/-30,+/-25,+/-30,+/-36,+/-30,+/-259,+/-106,+/-34,+/-21,+/-30,+/-30,+/-47,+/-30,C2300US06013,C4300US0608506013,C0300US06085
"Santa Clara County, California","Marin County, California",195,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,+/-81,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-81,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,C2300US06041,C4300US0608506041,C0300US06085
"Santa Clara County, California","Napa County, California",80,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,+/-71,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-71,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,C2300US06055,C4300US0608506055,C0300US06085
"Santa Clara County, California","San Francisco County, California","18,060","4,085",285,0,75,115,20,20,130,0,"9,205","1,530",205,30,60,10,"1,110","1,175","+/-1,191",+/-351,+/-245,+/-30,+/-93,+/-71,+/-32,+/-24,+/-78,+/-30,+/-883,+/-379,+/-135,+/-33,+/-51,+/-23,+/-216,+/-302,C2300US06075,C4300US0608506075,C0300US06085
"Santa Clara County, California","San Mateo County, California","44,155","1,805",105,0,325,170,105,165,400,0,"35,045","3,200",710,275,155,105,"1,490",90,"+/-1,528",+/-305,+/-67,+/-30,+/-127,+/-115,+/-101,+/-111,+/-154,+/-30,"+/-1,335",+/-421,+/-216,+/-109,+/-79,+/-62,+/-322,+/-56,C2300US06081,C4300US0608506081,C0300US06085
"Santa Clara County, California","Santa Clara County, California","861,940","3,485","2,390",55,"13,330","20,225","1,965","1,950","7,290","151,855","564,440","58,685","11,945","4,610","2,545",925,"15,200","1,045","+/-4,853",+/-435,+/-401,+/-71,+/-991,"+/-1,212",+/-368,+/-333,+/-716,"+/-3,468","+/-5,042","+/-1,972","+/-1,034",+/-664,+/-487,+/-253,+/-997,+/-334,C2300US06085,C4300US0608506085,C0300US06085
"Santa Clara County, California","Solano County, California",270,0,0,0,0,0,0,0,0,0,255,4,15,0,0,0,0,0,+/-121,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-119,+/-1,+/-25,+/-30,+/-30,+/-30,+/-30,+/-30,C2300US06095,C4300US0608506095,C0300US06085
"Santa Clara County, California","Sonoma County, California",275,0,0,0,4,10,0,0,4,0,240,15,0,0,0,0,0,0,+/-115,+/-30,+/-30,+/-30,+/-9,+/-24,+/-30,+/-30,+/-9,+/-30,+/-110,+/-22,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,C2300US06097,C4300US0608506097,C0300US06085
"Solano County, California","Alameda County, California","12,640",250,4,0,0,25,0,20,4,0,"10,305","1,175",290,40,55,15,285,170,+/-963,+/-151,+/-10,+/-30,+/-30,+/-41,+/-30,+/-26,+/-21,+/-30,+/-831,+/-266,+/-157,+/-35,+/-36,+/-25,+/-114,+/-85,C2300US06001,C4300US0609506001,C0300US06095
"Solano County, California","Contra Costa County, California","21,990",130,0,40,15,10,45,135,95,0,"18,050","2,260",550,120,145,105,300,0,"+/-1,328",+/-73,+/-30,+/-49,+/-24,+/-15,+/-46,+/-54,+/-63,+/-30,"+/-1,190",+/-400,+/-206,+/-67,+/-92,+/-59,+/-136,+/-30,C2300US06013,C4300US0609506013,C0300US06095
"Solano County, California","Marin County, California","5,700",0,0,0,0,15,0,10,80,0,"4,460",845,195,20,25,15,35,0,+/-707,+/-30,+/-30,+/-30,+/-30,+/-28,+/-30,+/-23,+/-84,+/-30,+/-595,+/-298,+/-130,+/-34,+/-39,+/-24,+/-48,+/-30,C2300US06041,C4300US0609506041,C0300US06095
"Solano County, California","Napa County, California","13,050",0,0,0,4,20,0,55,55,0,"10,800","1,545",260,45,130,0,135,0,"+/-1,001",+/-30,+/-30,+/-30,+/-15,+/-25,+/-30,+/-68,+/-46,+/-30,+/-871,+/-284,+/-175,+/-37,+/-109,+/-30,+/-84,+/-30,C2300US06055,C4300US0609506055,C0300US06095
"Solano County, California","San Francisco County, California","10,670",230,10,"1,545",25,20,4,25,130,0,"5,325","1,025",825,255,155,185,400,505,+/-756,+/-112,+/-19,+/-317,+/-48,+/-34,+/-12,+/-30,+/-78,+/-30,+/-498,+/-290,+/-218,+/-153,+/-127,+/-93,+/-185,+/-153,C2300US06075,C4300US0609506075,C0300US06095
"Solano County, California","San Mateo County, California","3,050",25,0,30,0,0,0,10,40,0,"1,910",360,150,20,200,175,80,50,+/-488,+/-36,+/-30,+/-29,+/-30,+/-30,+/-30,+/-14,+/-39,+/-30,+/-390,+/-138,+/-87,+/-32,+/-166,+/-103,+/-59,+/-58,C2300US06081,C4300US0609506081,C0300US06095
"Solano County, California","Santa Clara County, California","1,755",45,0,0,0,0,0,0,0,0,"1,280",125,55,0,200,0,45,4,+/-372,+/-43,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-234,+/-104,+/-48,+/-30,+/-249,+/-30,+/-51,+/-9,C2300US06085,C4300US0609506085,C0300US06095
"Solano County, California","Solano County, California","125,880",20,0,155,500,"2,240",170,275,880,"16,935","91,930","8,755","1,535",925,565,170,790,35,"+/-2,527",+/-25,+/-30,+/-80,+/-135,+/-365,+/-92,+/-108,+/-248,"+/-1,294","+/-2,026",+/-787,+/-373,+/-253,+/-207,+/-111,+/-230,+/-34,C2300US06095,C4300US0609506095,C0300US06095
"Solano County, California","Sonoma County, California","2,870",0,0,0,0,25,0,0,0,0,"2,465",215,70,4,10,45,40,0,+/-447,+/-30,+/-30,+/-30,+/-30,+/-29,+/-30,+/-30,+/-30,+/-30,+/-410,+/-151,+/-63,+/-4,+/-18,+/-56,+/-37,+/-30,C2300US06097,C4300US0609506097,C0300US06095
"Sonoma County, California","Alameda County, California","1,700",0,0,0,0,15,10,30,0,0,"1,300",175,0,10,10,4,145,0,+/-318,+/-30,+/-30,+/-30,+/-30,+/-29,+/-15,+/-25,+/-30,+/-30,+/-260,+/-102,+/-30,+/-13,+/-17,+/-15,+/-138,+/-30,C2300US06001,C4300US0609706001,C0300US06097
"Sonoma County, California","Contra Costa County, California","1,115",0,0,0,0,0,0,0,0,0,905,170,0,0,0,0,40,0,+/-254,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-212,+/-121,+/-30,+/-30,+/-30,+/-30,+/-55,+/-30,C2300US06013,C4300US0609706013,C0300US06097
"Sonoma County, California","Marin County, California","13,700",315,15,0,40,160,4,90,20,0,"11,255","1,400",190,45,0,25,145,4,"+/-1,019",+/-126,+/-17,+/-30,+/-35,+/-52,+/-3,+/-66,+/-31,+/-30,+/-887,+/-425,+/-120,+/-45,+/-30,+/-36,+/-83,+/-17,C2300US06041,C4300US0609706041,C0300US06097
"Sonoma County, California","Napa County, California","5,205",0,0,0,0,0,0,20,0,0,"4,405",625,75,40,40,0,0,0,+/-653,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-24,+/-30,+/-30,+/-577,+/-266,+/-69,+/-40,+/-60,+/-30,+/-30,+/-30,C2300US06055,C4300US0609706055,C0300US06097
"Sonoma County, California","San Francisco County, California","6,510",55,0,35,25,50,30,80,55,0,"4,195",655,95,80,0,100,950,100,+/-547,+/-48,+/-30,+/-37,+/-25,+/-45,+/-45,+/-73,+/-57,+/-30,+/-439,+/-198,+/-60,+/-61,+/-30,+/-94,+/-197,+/-81,C2300US06075,C4300US0609706075,C0300US06097
"Sonoma County, California","San Mateo County, California","1,230",20,0,0,0,4,0,0,15,0,845,115,40,45,10,10,125,0,+/-265,+/-29,+/-30,+/-30,+/-30,+/-13,+/-30,+/-30,+/-26,+/-30,+/-220,+/-84,+/-40,+/-59,+/-14,+/-16,+/-62,+/-30,C2300US06081,C4300US0609706081,C0300US06097
"Sonoma County, California","Santa Clara County, California",665,0,0,0,0,10,0,0,0,0,605,40,10,0,0,0,0,0,+/-225,+/-30,+/-30,+/-30,+/-30,+/-17,+/-30,+/-30,+/-30,+/-30,+/-225,+/-48,+/-16,+/-30,+/-30,+/-30,+/-30,+/-30,C2300US06085,C4300US0609706085,C0300US06097
"Sonoma County, California","Solano County, California",830,0,0,0,0,25,0,0,0,0,735,55,10,0,0,0,0,0,+/-208,+/-30,+/-30,+/-30,+/-30,+/-43,+/-30,+/-30,+/-30,+/-30,+/-203,+/-74,+/-16,+/-30,+/-30,+/-30,+/-30,+/-30,C2300US06095,C4300US0609706095,C0300US06097
"Sonoma County, California","Sonoma County, California","210,665",90,15,25,"1,530","5,290",345,430,"2,225","27,760","151,600","14,880","3,155",945,605,235,"1,495",40,"+/-2,576",+/-68,+/-27,+/-39,+/-282,+/-624,+/-170,+/-148,+/-521,"+/-1,486","+/-2,712","+/-1,281",+/-533,+/-282,+/-243,+/-113,+/-340,+/-56,C2300US06097,C4300US0609706097,C0300US06097
